"Ligne de données d'analyse"|Client|Groupe du produit|CCY Groupe|Secteur|Région|Taille|Acheté/Vendu|ID Région|ID produit
11|552|Spot|OTHER|Real Money|ASPAC|88573573.6270243|1||1
21|1003|Spot|G10|Hedge Fund|ASPAC|47219462.415872|-1||1
64|889|Spot|G10|Hedge Fund|ASPAC|140736151.707815|1||1
10|453|Spot|OTHER|Hedge Fund|EMEA|63451519.6201598|1||1
22|1049|Spot|G10|Real Money|EMEA|70777456.6912632|1||1
47|323|Spot|G10|Real Money|EMEA|96597040.8492812|1||1
52|403|Spot|LATAM|Real Money|EMEA|95750575.2790467|1||1
53|438|Spot|OTHER|Bank|EMEA|99499373.3147774|1||1
69|1003|Spot|G10|Real Money|EMEA|159480141.886468|1||1
74|438|Spot|OTHER|Bank|EMEA|178224132.065121|1||1
75|453|Spot|G10|Hedge Fund|EMEA|181972930.100852|1||1
82|736|Spot|OTHER|Real Money|EMEA|70777456.6912632|1||1
83|772|Spot|G10|Bank|EMEA|88022499.9776014|-1||1
