Annee;2013;2014;2015;2016;2017;2018;;;;;;;
AFGHANISTAN;241;212;201;207;176;136;;;;;;;
AFRIQUE DU SUD;7 283;7 629;7 659;7 921;8 109;8 009;;;;;;;
ALBANIE;201;196;203;197;185;189;;;;;;;
ALGERIE;31 677;34 371;38 325;40 717;41 780;40 908;;;;;;;
ALLEMAGNE;112 238;112 879;114 020;118 331;116 388;112 903;;;;;;;
ANDORRE;3 226;3 170;3 141;3 114;2 888;2 702;;;;;;;
ANGOLA;1 896;1 768;1 838;1 766;1 617;1 578;;;;;;;
ARABIE SAOUDITE;5 590;5 710;5 893;6 143;6 173;6 154;;;;;;;
ARGENTINE;14 577;14 548;13 456;12 327;12 496;11 906;;;;;;;
ARMENIE;554;588;529;548;551;560;;;;;;;
AUSTRALIE;20 670;22 539;24 284;25 267;25 348;24 834;;;;;;;
AUTRICHE;8 668;8 760;8 859;9 215;9 666;10 087;;;;;;;
AZERBAIDJAN;173;185;162;199;191;205;;;;;;;
BAHREIN;939;1 013;1 124;1 088;1 110;1 116;;;;;;;
BANGLADESH;231;272;242;237;229;245;;;;;;;
BELGIQUE;115 888;117 782;120 724;124 978;127 558;124 182;;;;;;;
BELIZE;0;0;0;0;0;0;;;;;;;
BENIN;3 755;3 791;3 833;3 797;3 687;3 629;;;;;;;
BIELORUSSIE;160;165;172;191;192;198;;;;;;;
BIRMANIE;486;662;777;809;813;844;;;;;;;
BOLIVIE;1 416;1 473;1 527;1 539;1 517;1 511;;;;;;;
BOSNIE-HERZEGOVINE;359;385;402;393;388;387;;;;;;;
BOTSWANA;120;125;120;117;96;80;;;;;;;
BRESIL;20 806;21 509;21 670;20 944;19 942;18 503;;;;;;;
BRUNEI;207;187;171;134;124;112;;;;;;;
BULGARIE;1 127;1 223;1 325;1 412;1 463;1 526;;;;;;;
BURKINA;3 582;3 494;3 442;3 317;3 423;3 610;;;;;;;
BURUNDI;429;481;377;290;308;285;;;;;;;
CAMBODGE;4 530;4 661;4 731;4 880;4 994;5 021;;;;;;;
CAMEROUN;6 210;6 277;6 521;6 404;6 331;6 167;;;;;;;
CANADA;83 295;86 837;92 116;101 541;103 967;100 356;;;;;;;
CAP-VERT;412;407;405;339;278;283;;;;;;;
CENTRAFRICAINE (REP.);765;687;712;762;802;842;;;;;;;
CHILI;10 623;10 936;10 690;11 652;12 252;13 011;;;;;;;
CHINE;31 275;31 334;31 296;31 252;30 824;29 391;;;;;;;
CHYPRE;1 428;1 464;1 380;1 409;1 418;1 348;;;;;;;
COLOMBIE;5 029;5 246;5 428;5 647;5 799;6 043;;;;;;;
COMORES;1 998;1 983;1 855;1 735;1 686;1 851;;;;;;;
CONGO;5 561;6 035;6 879;6 921;6 630;6 032;;;;;;;
COREE;2 451;2 636;2 927;3 077;3 067;3 053;;;;;;;
COSTA RICA;2 253;2 482;2 557;2 668;2 704;2 840;;;;;;;
COTE D'IVOIRE;14 162;15 229;16 429;17 034;17 776;17 856;;;;;;;
CROATIE;1 006;1 076;1 005;1 021;1 040;1 066;;;;;;;
CUBA;563;634;764;922;1 042;1 073;;;;;;;
DANEMARK;5 216;5 176;5 188;5 695;5 773;5 668;;;;;;;
DJIBOUTI;4 929;4 871;4 638;4 305;4 012;3 944;;;;;;;
EGYPTE;5 971;5 905;6 090;6 030;6 034;5 951;;;;;;;
EMIRATS ARABES UNIS;17 371;19 324;20 638;22 502;22 822;23 054;;;;;;;
EQUATEUR;2 318;2 460;2 588;2 720;2 955;2 830;;;;;;;
ESPAGNE;91 707;90 610;86 016;84 730;85 121;83 331;;;;;;;
ESTONIE;208;229;228;278;287;310;;;;;;;
ETATS-UNIS;129 520;135 837;141 942;157 849;163 699;164 542;;;;;;;
ETHIOPIE;899;993;1 005;1 074;1 031;1 012;;;;;;;
FIDJI;222;216;232;236;249;211;;;;;;;
FINLANDE;2 600;2 684;2 901;3 059;3 157;3 180;;;;;;;
GABON;10 969;10 582;10 568;10 600;9 795;9 036;;;;;;;
GEORGIE;313;306;326;376;402;421;;;;;;;
GHANA;967;1 110;1 080;1 153;1 185;1 139;;;;;;;
GRECE;10 433;10 541;10 040;10 086;10 072;10 021;;;;;;;
GUATEMALA;779;824;840;907;870;989;;;;;;;
GUINEE;2 839;2 958;3 026;2 949;2 837;2 664;;;;;;;
GUINEE EQUATORIALE;707;587;515;99;122;323;;;;;;;
GUINEE-BISSAO;114;114;100;398;365;103;;;;;;;
HAITI;1 654;1 642;1 715;1 799;1 860;1 781;;;;;;;
HONDURAS;397;336;274;265;287;281;;;;;;;
HONGRIE;2 402;2 423;2 489;2 564;2 644;2 646;;;;;;;
INDE;9 950;9 983;9 585;9 571;9 303;8 924;;;;;;;
INDONESIE;3 973;4 162;4 301;4 395;4 471;4 241;;;;;;;
IRAK;320;387;391;399;431;402;;;;;;;
IRAN;913;968;1 046;1 146;1 331;1 167;;;;;;;
IRLANDE;8 310;8 735;9 089;10 161;10 723;10 889;;;;;;;
ISLANDE;349;340;404;515;589;638;;;;;;;
ISRAEL;74 988;76 091;72 415;71 136;72 330;71 175;;;;;;;
ITALIE;46 896;46 113;44 835;44 112;43 877;41 544;;;;;;;
JAMAIQUE;194;183;146;159;186;134;;;;;;;
JAPON;7 292;7 561;8 106;9 722;10 252;10 251;;;;;;;
JORDANIE;1 464;1 482;1 503;1 642;1 634;1 569;;;;;;;
KAZAKHSTAN;416;457;461;457;432;393;;;;;;;
KENYA;1 529;1 493;1 561;1 657;1 814;1 888;;;;;;;
KOSOVO;119;130;139;142;148;151;;;;;;;
KOWEIT;1 045;1 109;1 071;1 144;1 161;1 134;;;;;;;
